number,real_comment,translated_comment
11,字幕でありがとうございます🙏,字幕でありがとうございます🙏
12,Wow! I&#39;ve recognised that &quot;half&quot; kanji!😮,Wow! I&#39;ve recognised that &quot;half&quot; kanji!😮
13,ビデオをありがとう❤<br>あのチキンは美味しそう😍,ビデオをありがとう❤<br>あのチキンは美味しそう😍
14,I&#39;m playing this for my newborn.,I&#39;m playing this for my newborn.
15,after looking at the comments I guess I’m the only one with this opinion “how can I learn something if idk what she is saying?” it’s like asking someone to draw an apple but yet never have seen an apple like how does that work? 😭💔💔,after looking at the comments I guess I’m the only one with this opinion “how can I learn something if idk what she is saying?” it’s like asking someone to draw an apple but yet never have seen an apple like how does that work? 😭💔💔
16,素晴らしいです😊,素晴らしいです😊
17,❤❤😊,❤❤😊
18,Thanks!,Thanks!
19,lovely vlog.,lovely vlog.
20,２回聞くてまた、分るて始めもした。,２回聞くてまた、分るて始めもした。
21,Thank You so much. You are very help me for learn and understanding Japanese thank you again,Thank You so much. You are very help me for learn and understanding Japanese thank you again
22,Muchas gracias. Están geniales este tipo de videos.,Muchas gracias. Están geniales este tipo de videos.
23,J&#39;étais vraiment pas prêt pour la bûche de noël,J&#39;étais vraiment pas prêt pour la bûche de noël
24,seeing this while i am hungry was not a good idea🤤,seeing this while i am hungry was not a good idea🤤
25,너무 좋아 보이네요,너무 좋아 보이네요
26,Thank you so much for sharing some of your videos. I’ve finally found you Sensei 🎉This is really a big help for a beginner like me ❤😊,Thank you so much for sharing some of your videos. I’ve finally found you Sensei 🎉This is really a big help for a beginner like me ❤😊
27,"As someone who isn’t religious and is in the UK, I like to celebrate the traditions/ festive period. I usually put up decorations with a different winter theme each year, post cards, make a feast while listening to festive songs, visit Christmas markets and maybe watch a movie. We also have winter wonderlands and various events. It’s usually a time for family, fattening up and resting.","As someone who isn’t religious and is in the UK, I like to celebrate the traditions/ festive period. I usually put up decorations with a different winter theme each year, post cards, make a feast while listening to festive songs, visit Christmas markets and maybe watch a movie. We also have winter wonderlands and various events. It’s usually a time for family, fattening up and resting."
28,❤❤❤,❤❤❤
29,What i learned thanks to you!!♡<br><br>Han gaku= half price<br>(Kanji)Hanbun= half<br>(Kanji) kingaku= price<br>Shio= salt<br>Shiro= white <br>Kuro= black<br>Koshou= pepper<br>Maze= mix<br>A ge= fry<br>Tamago=egg<br>Tsuri=coat<br><br>ありがとうございますせんせい！,What i learned thanks to you!!♡<br><br>Han gaku= half price<br>(Kanji)Hanbun= half<br>(Kanji) kingaku= price<br>Shio= salt<br>Shiro= white <br>Kuro= black<br>Koshou= pepper<br>Maze= mix<br>A ge= fry<br>Tamago=egg<br>Tsuri=coat<br><br>ありがとうございますせんせい！
30,I can&#39;t believe i had to scroll so much to find such an amazing useful channel ❤,I can&#39;t believe i had to scroll so much to find such an amazing useful channel ❤
31,"In Spain, 10 eggs cost at least 688 yens 😢😢","In Spain, 10 eggs cost at least 688 yens 😢😢"
32,Yes this is what I&#39;ve been looking for. Now to find it for other languages after this one.,Yes this is what I&#39;ve been looking for. Now to find it for other languages after this one.
33,"<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=135"">2:15</a> 納豆は健康のために食べています。","<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=135"">2:15</a> 納豆は健康のために食べています。"
34,ありがとございます🥹💕,ありがとございます🥹💕
35,"You talk so nicely about your children! It is very interesting to listen to you and watch your videos, and the way you talk about everything. So much information, and grammar, and holidays, and chicken recipe!! You are a very sweet woman 🤍🤍","You talk so nicely about your children! It is very interesting to listen to you and watch your videos, and the way you talk about everything. So much information, and grammar, and holidays, and chicken recipe!! You are a very sweet woman 🤍🤍"
36,イスラム教だから、何もしない,イスラム教だから、何もしない
37,私は本当にチキンレシピのためにここにいるだけです。それはさておき、これは非常に役立ちます！私は約3ヶ月間日本語を練習していて、このような高品質なビデオは学習過程に本当に役立ちます！,私は本当にチキンレシピのためにここにいるだけです。それはさておき、これは非常に役立ちます！私は約3ヶ月間日本語を練習していて、このような高品質なビデオは学習過程に本当に役立ちます！
38,I REALLY ENJOY AND LOVE YOUR VIDEO 😍🥰,I REALLY ENJOY AND LOVE YOUR VIDEO 😍🥰
39,今年も先生はケンタッキー風のフライドチキンを作りますか？,今年も先生はケンタッキー風のフライドチキンを作りますか？
40,At Christmas we usually eat ham.,At Christmas we usually eat ham.
41,Ur voice is really calming and i loved this it encouraged me to learn japnaeese,Ur voice is really calming and i loved this it encouraged me to learn japnaeese
42,こんにちは、そういうタイプの動画を作って説明できますよね?あなたの動画と一緒に作れるんですよね?,こんにちは、そういうタイプの動画を作って説明できますよね?あなたの動画と一緒に作れるんですよね?
43,日本酒は美味しいです. Als Deutscher schmeckt mir euer Bier leider nicht <br>I&#39;m sry😅,日本酒は美味しいです. Als Deutscher schmeckt mir euer Bier leider nicht <br>I&#39;m sry😅
44,日本人が無条件で無双できる神動画,日本人が無条件で無双できる神動画
45,Voice is so soft and calm. I am a baby falling asleep at the supermarket,Voice is so soft and calm. I am a baby falling asleep at the supermarket
46,インドネシアはいろんな宗教があります。クリスマスはクリスト教の人しかお祝いしません。チャンネルを学生におすすめしました。素晴らしいチャンネルで来て有難うございます🇮🇩🎉,インドネシアはいろんな宗教があります。クリスマスはクリスト教の人しかお祝いしません。チャンネルを学生におすすめしました。素晴らしいチャンネルで来て有難うございます🇮🇩🎉
47,Her voice is soothing (^-^)/<br>Thanks for this helpful content,Her voice is soothing (^-^)/<br>Thanks for this helpful content
48,"Christian here, but not the kind you&#39;re probably used to. I&#39;m a messianic jew. Holidays are optional, as are rituals. I most often do nothing for Christmas unless someone else I&#39;m with at the time is. Same for all other holidays including my birthday.","Christian here, but not the kind you&#39;re probably used to. I&#39;m a messianic jew. Holidays are optional, as are rituals. I most often do nothing for Christmas unless someone else I&#39;m with at the time is. Same for all other holidays including my birthday."
49,"I love to learn Japanese language.but I feel difficult with kanji😂😂😂why Japan use kanji,, although Japanese language have completely letter in hiragana form❤❤❤❤❤❤","I love to learn Japanese language.but I feel difficult with kanji😂😂😂why Japan use kanji,, although Japanese language have completely letter in hiragana form❤❤❤❤❤❤"
50,my goals is reading japanese publisher&#39;s books.,my goals is reading japanese publisher&#39;s books.
51,I like learning Japanese. <br>教えてくれてありがとうございます。,I like learning Japanese. <br>教えてくれてありがとうございます。
52,Thank you very much for your efforts 🙏🙇‍♂️ ありがございました,Thank you very much for your efforts 🙏🙇‍♂️ ありがございました
53,good job🤩 this is the first time watching your videos. they are pretty cool,good job🤩 this is the first time watching your videos. they are pretty cool
54,i feel like a new born baby strapped to the moms chest and i’m listening to her speak gibberish at me,i feel like a new born baby strapped to the moms chest and i’m listening to her speak gibberish at me
55,"Supermarkets in New Zealand start with fruit and vegetables too. I like the summer fruits more than winter ones so I don&#39;t eat a lot of fruit in winter. Christmas here is different. First off it&#39;s summer because Southern Hemisphere so it&#39;s really hot. A lot of people go to the beach or have a barbeque. My family are all Christians and go to church in the morning, open presents (either before or after church) and we have Christmas food at lunch then leftover food for dinner. One of my friends families has KFC but get it the day before as most places are closed on Christmas. It is celebrated on the 25th December. We also go look at lights. They usually have a map of houses that are decorated in the local newspaper. You have to wait until 9pm at least to look as it&#39;s still too light outside. I&#39;m not a Christian so I don&#39;t go with my family to church and I don&#39;t like Christmas. It&#39;s too stressful and the songs are bad. I have had a relaxing Christmas away from my family and it was good. I still don&#39;t like it but it was way better being around my friends","Supermarkets in New Zealand start with fruit and vegetables too. I like the summer fruits more than winter ones so I don&#39;t eat a lot of fruit in winter. Christmas here is different. First off it&#39;s summer because Southern Hemisphere so it&#39;s really hot. A lot of people go to the beach or have a barbeque. My family are all Christians and go to church in the morning, open presents (either before or after church) and we have Christmas food at lunch then leftover food for dinner. One of my friends families has KFC but get it the day before as most places are closed on Christmas. It is celebrated on the 25th December. We also go look at lights. They usually have a map of houses that are decorated in the local newspaper. You have to wait until 9pm at least to look as it&#39;s still too light outside. I&#39;m not a Christian so I don&#39;t go with my family to church and I don&#39;t like Christmas. It&#39;s too stressful and the songs are bad. I have had a relaxing Christmas away from my family and it was good. I still don&#39;t like it but it was way better being around my friends"
56,I&#39;m so happy that I found your channel. Love your video! :),I&#39;m so happy that I found your channel. Love your video! :)
57,Very insteresting ideas at the video of the end. Thanks i will try it :),Very insteresting ideas at the video of the end. Thanks i will try it :)
58,This is how I learned English. Time to do it for japanese,This is how I learned English. Time to do it for japanese
59,Arigathoo gozaimasu 🎉,Arigathoo gozaimasu 🎉
60,"Great, Good luck 🙏","Great, Good luck 🙏"
61,日本語を勉強している私にとってとても役に立ちました。<br>この動画を作ってくださってありがとうございます。<br>いつも健康で幸せでありますように。,日本語を勉強している私にとってとても役に立ちました。<br>この動画を作ってくださってありがとうございます。<br>いつも健康で幸せでありますように。
62,Something I learned today <br>Mas: Verbs<br>Des: Nouns and adjectives,Something I learned today <br>Mas: Verbs<br>Des: Nouns and adjectives
63,"I use these videos for vocab farming, it&#39;s really helpful because personally I learn vocabulary a lot easier when I can remember where I saw it first. So if I remember seeing a word when you were at the frozen food or the eggs, I&#39;ll remember it easier than if I just saw it in a dictionary!","I use these videos for vocab farming, it&#39;s really helpful because personally I learn vocabulary a lot easier when I can remember where I saw it first. So if I remember seeing a word when you were at the frozen food or the eggs, I&#39;ll remember it easier than if I just saw it in a dictionary!"
64,ありがとうございます😊,ありがとうございます😊
65,anatawa nansai deska ?????,anatawa nansai deska ?????
66,WHY IS EVERYTHING SO CHEAP WHEN CAN I LIVE JAPAN,WHY IS EVERYTHING SO CHEAP WHEN CAN I LIVE JAPAN
67,こにちヴぁ😊,こにちヴぁ😊
68,LET&#39;S GO TO JAPAN! ❤🎉🎉❤,LET&#39;S GO TO JAPAN! ❤🎉🎉❤
69,９か月前が日本語を勉強始まりました。その時先生の動画よく見ました! 今日は日本に住んでいます。いきなり先生の動画思い出した。今日からもう一度このちゃネルで聞き取り練習決めました。また宜しくお願いします!😊,９か月前が日本語を勉強始まりました。その時先生の動画よく見ました! 今日は日本に住んでいます。いきなり先生の動画思い出した。今日からもう一度このちゃネルで聞き取り練習決めました。また宜しくお願いします!😊
70,”鳥肌が立つ” when I heard the English...it&#39;s just equally soothing,”鳥肌が立つ” when I heard the English...it&#39;s just equally soothing
71,"This video is very interesting and relaxing. In austria we celebrate christmas at the 24th december. We have the tradition of baking a lot of christmas cookies even a month before that day, they are very yummy, my favorite is Vanillekipferl. In the morning we make the christmas tree all pretty, we put on the lights and Christbaumkugeln. We listen to christmas songs or watch some tv and relax. In the afternoon we cook fried or baked carp, most of the time it has a breading (Panade). We eat it with potato salad. I think carp is preffered for christmas here, but sometimes people also eat goose. Some families go to church in the evening, we pray and sing. Most of the time there are children in the church who will show a theatre play of maria and josef in bethlehem. Then we go home and exchange presents.","This video is very interesting and relaxing. In austria we celebrate christmas at the 24th december. We have the tradition of baking a lot of christmas cookies even a month before that day, they are very yummy, my favorite is Vanillekipferl. In the morning we make the christmas tree all pretty, we put on the lights and Christbaumkugeln. We listen to christmas songs or watch some tv and relax. In the afternoon we cook fried or baked carp, most of the time it has a breading (Panade). We eat it with potato salad. I think carp is preffered for christmas here, but sometimes people also eat goose. Some families go to church in the evening, we pray and sing. Most of the time there are children in the church who will show a theatre play of maria and josef in bethlehem. Then we go home and exchange presents."
72,確かに、日本人だけど言われてみればスーパーって野菜果物コーナーから始まりますね😳,確かに、日本人だけど言われてみればスーパーって野菜果物コーナーから始まりますね😳
73,It is an interesting video.. Thank you.,It is an interesting video.. Thank you.
74,"There is one God, who created Heaven and Earth. He made us in His image and likeness. He made us to worship and we chose to rebel against God. As a result we are seperated from God but God didn’t leave us. Instead God sent His one and only Son, His Son is Jesus. He was born of a virgin and lived a life without sin, though He was tempted in every way as we are. He went on the cross and He willingly took our sins past, present and future. Jesus died in my place for my sins, paying my debt to God and purchasing my salvation. Jesus died but He rose on the third day victory over satan, sin, demons and hell. Jesus tells us to share this story of the Good News and there’s a God that lovingly pursues us. Jesus is coming to judge the living and the dead and those who trust in God will forever be with Him in His Kingdom and those who do not will suffer forever in hell.","There is one God, who created Heaven and Earth. He made us in His image and likeness. He made us to worship and we chose to rebel against God. As a result we are seperated from God but God didn’t leave us. Instead God sent His one and only Son, His Son is Jesus. He was born of a virgin and lived a life without sin, though He was tempted in every way as we are. He went on the cross and He willingly took our sins past, present and future. Jesus died in my place for my sins, paying my debt to God and purchasing my salvation. Jesus died but He rose on the third day victory over satan, sin, demons and hell. Jesus tells us to share this story of the Good News and there’s a God that lovingly pursues us. Jesus is coming to judge the living and the dead and those who trust in God will forever be with Him in His Kingdom and those who do not will suffer forever in hell."
75,Hi 👋 I em from Kyrgyzstan.l love you Japan,Hi 👋 I em from Kyrgyzstan.l love you Japan
76,ベルギーに住んでいます！私の国では、クリスマスはおかぞくのエベントです！みんなでおいしい食べ物を作りますと食べます、そして、プレセントをあげます！私たちは、２４日と２５日にクリスマスをいわいます！ビデオをありがとうございます。please correct my sentences if its bad &lt;3,ベルギーに住んでいます！私の国では、クリスマスはおかぞくのエベントです！みんなでおいしい食べ物を作りますと食べます、そして、プレセントをあげます！私たちは、２４日と２５日にクリスマスをいわいます！ビデオをありがとうございます。please correct my sentences if its bad &lt;3
77,i love how you also put in japanese subtitles. helps people practive with reading.,i love how you also put in japanese subtitles. helps people practive with reading.
78,"Here, Christmas is certainly more for your family ! Most people, we even celebrate with our relatives as a whole, and every family has a contribution to the food for Christmas Eve.<br><br>If not, a lot of people go to the malls.. With their family.","Here, Christmas is certainly more for your family ! Most people, we even celebrate with our relatives as a whole, and every family has a contribution to the food for Christmas Eve.<br><br>If not, a lot of people go to the malls.. With their family."
79,The Chicken looks fantastic!  Great video.  I&#39;m gonna try that chicken using Yona Yona beer instead of sparkling water.,The Chicken looks fantastic!  Great video.  I&#39;m gonna try that chicken using Yona Yona beer instead of sparkling water.
80,これは日本語の勉強 が 出来ますね ありがとう🙏,これは日本語の勉強 が 出来ますね ありがとう🙏
81,"Thank you for making these videos!! Really lovely to listen to, and it feels rewarding to be able to understand so much.","Thank you for making these videos!! Really lovely to listen to, and it feels rewarding to be able to understand so much."
82,I started learning Japanese in 2022 but I gave up since I thought it was going to be impossible but I cane back and watching your videos are very helpful so thank you.❤,I started learning Japanese in 2022 but I gave up since I thought it was going to be impossible but I cane back and watching your videos are very helpful so thank you.❤
83,先生の動画は本当に役立ちました、竜崎の漢字の読みが上達しましたフライドチキンおいしそう,先生の動画は本当に役立ちました、竜崎の漢字の読みが上達しましたフライドチキンおいしそう
84,"<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=40"">0:40</a> 台湾のスーパーは大抵、junk food のコーナーから始まります、とても便利です😢","<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=40"">0:40</a> 台湾のスーパーは大抵、junk food のコーナーから始まります、とても便利です😢"
85,Thanks,Thanks
86,ありがとうございます、私は勉強することができる、私は勉強したいと思います,ありがとうございます、私は勉強することができる、私は勉強したいと思います
87,半額は英語でhalf price です。50%割引になると思います。ふみ先生は山梨県はワインの生産量は日本で一番有名だと言っていました。わたしはいま七十二歳ですから、毎日ほとんどい家にいます。たまに朝友達とテニスを一緒にします。動画を見るとふみ先生は日本語の指導も上手だけでなく、ケンタッキーフライドチキン作り方は上手ですね。本当に素晴らしいです。最後にこの動画は面白いです。ふみ先生は、どうもありがとうございます。<br>将来時間がある時、もう一回勉強する予定です。,半額は英語でhalf price です。50%割引になると思います。ふみ先生は山梨県はワインの生産量は日本で一番有名だと言っていました。わたしはいま七十二歳ですから、毎日ほとんどい家にいます。たまに朝友達とテニスを一緒にします。動画を見るとふみ先生は日本語の指導も上手だけでなく、ケンタッキーフライドチキン作り方は上手ですね。本当に素晴らしいです。最後にこの動画は面白いです。ふみ先生は、どうもありがとうございます。<br>将来時間がある時、もう一回勉強する予定です。
88,ありがとうございます🙂,ありがとうございます🙂
89,"I&#39;ve been studying 日本語 for about 6 months now, and your videos seem really fitting for me ❤","I&#39;ve been studying 日本語 for about 6 months now, and your videos seem really fitting for me ❤"
90,잘듣고있습니다,잘듣고있습니다
91,すごい🎉,すごい🎉
92,あらゆるものがプラスチックで包装されているという事実にショックを受けています。,あらゆるものがプラスチックで包装されているという事実にショックを受けています。
93,❤❤❤,❤❤❤
94,안녕하세요 🐼<br>일본어를 늦게 배우기 시작 했어요<br>열심히 들어볼께요 🐼😭🍀,안녕하세요 🐼<br>일본어를 늦게 배우기 시작 했어요<br>열심히 들어볼께요 🐼😭🍀
95,I love how you left in the ambient sounds in the video.  <br>持ち前の音がほっとくのが好き！例はフライドチキンを作るかた。,I love how you left in the ambient sounds in the video.  <br>持ち前の音がほっとくのが好き！例はフライドチキンを作るかた。
96,動画をありがとう！,動画をありがとう！
97,Please speak louder,Please speak louder
98,Do japanese more often say チキン or 鳥肉,Do japanese more often say チキン or 鳥肉
99,Thank you so much for video I am from Nepal,Thank you so much for video I am from Nepal
100,"keren, entah kenapa channel ini muncul... terima kasih membuat saya semangat belajar bahasa Jepang","keren, entah kenapa channel ini muncul... terima kasih membuat saya semangat belajar bahasa Jepang"
101,I love japan,I love japan
102,"Sugoi...<a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>","Sugoi...<a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>"
103,日本語を勉強している身として、この動画とても助かる、そしてすごく励みになる！,日本語を勉強している身として、この動画とても助かる、そしてすごく励みになる！
104,"今文法勉強していますでも日本語難しくて頭がいたくなたけど日本語の勉強はあきらめないです<br>(Please correct it if I&#39;m write it wrong sensei, thanks for ur kind voice and 易しい explanation)","今文法勉強していますでも日本語難しくて頭がいたくなたけど日本語の勉強はあきらめないです<br>(Please correct it if I&#39;m write it wrong sensei, thanks for ur kind voice and 易しい explanation)"
105,"These videos are amazing, thank you so much for the effort and time spent doing these 🙏🙏<br>お疲れ様でした","These videos are amazing, thank you so much for the effort and time spent doing these 🙏🙏<br>お疲れ様でした"
106,いぃゔぇいんじゃぱんと❤,いぃゔぇいんじゃぱんと❤
107,Such a perfect video! Thank you so much!,Such a perfect video! Thank you so much!
108,Thank you very much for this wonderful channel! 💓😊 So helpful and informative and the climax is the recipes!!! Nante suteki na jyouhou??!!! ❤❤🎉 Hontouni arigatou gozaimashita!! I will start my shadowing journey with your video start today!,Thank you very much for this wonderful channel! 💓😊 So helpful and informative and the climax is the recipes!!! Nante suteki na jyouhou??!!! ❤❤🎉 Hontouni arigatou gozaimashita!! I will start my shadowing journey with your video start today!
109,"<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=559"">9:19</a> I would have panicked","<a href=""https://www.youtube.com/watch?v=C3oPjuudXas&amp;t=559"">9:19</a> I would have panicked"
110,私はイスラム教ですから、クリスマスをやりません。,私はイスラム教ですから、クリスマスをやりません。
111,🤍,🤍
112,あなたの鳥あげのレシピはすごいと思います。クリスマス時には、空っぽなスーパーを見るのが面白いです。楽しい動画です。,あなたの鳥あげのレシピはすごいと思います。クリスマス時には、空っぽなスーパーを見るのが面白いです。楽しい動画です。
113,❤❤❤❤❤❤,❤❤❤❤❤❤
114,Great for learning Japanese in a fun way. The lessons are easy to follow.,Great for learning Japanese in a fun way. The lessons are easy to follow.
115,Hi ❤<br>Nice videos <br>Be my friend in<br>I will back you❤❤,Hi ❤<br>Nice videos <br>Be my friend in<br>I will back you❤❤
116,Very helpful,Very helpful
117,"❤<a href=""https://youtube.com/@abdilakiofficial?si=I6BXSMxvm3EBI9wK"">https://youtube.com/@abdilakiofficial?si=I6BXSMxvm3EBI9wK</a><br><br>Thank you😊","❤<a href=""https://youtube.com/@abdilakiofficial?si=I6BXSMxvm3EBI9wK"">https://youtube.com/@abdilakiofficial?si=I6BXSMxvm3EBI9wK</a><br><br>Thank you😊"
118,❤,❤
119,aArekato gojaimash shimai Domo,aArekato gojaimash shimai Domo
120,"в Норильске десяток яиц стоит 200 рублей, это где-то 345 йен, жуть","в Норильске десяток яиц стоит 200 рублей, это где-то 345 йен, жуть"
121,Great for learning Japanese in a fun way. The lessons are easy to follow.,Great for learning Japanese in a fun way. The lessons are easy to follow.
122,Great for learning Japanese in a fun way. The lessons are easy to follow.,Great for learning Japanese in a fun way. The lessons are easy to follow.
123,Great for learning Japanese in a fun way. The lessons are easy to follow.,Great for learning Japanese in a fun way. The lessons are easy to follow.
124,❤❤❤,❤❤❤
125,Great for learning Japanese in a fun way. The lessons are easy to follow.,Great for learning Japanese in a fun way. The lessons are easy to follow.
126,Great for learning Japanese in a fun way. The lessons are easy to follow.,Great for learning Japanese in a fun way. The lessons are easy to follow.
127,"1.80$ for 10 eggs??!!! Wow,I live in Romania and 10 eggs here are like 4-5$","1.80$ for 10 eggs??!!! Wow,I live in Romania and 10 eggs here are like 4-5$"
128,Thank u sensei,Thank u sensei
129,Thank you for sharing this video ! ❤🇱🇰,Thank you for sharing this video ! ❤🇱🇰
130,Thank u ❤,Thank u ❤
131,I might not understand a lot but thank you so much when listening I heard tons of words I knew and event tho I have trouble knowing how a sentence works in Japanese I can definitely tell you that I understood probably 20% to 40% I’m really proud of myself ありがとうございます。,I might not understand a lot but thank you so much when listening I heard tons of words I knew and event tho I have trouble knowing how a sentence works in Japanese I can definitely tell you that I understood probably 20% to 40% I’m really proud of myself ありがとうございます。
132,My birthday is Christmas eve. Its always a special time of year for me in Australia. I am at the start of my Japanese learning journey. Thank you for your videos,My birthday is Christmas eve. Its always a special time of year for me in Australia. I am at the start of my Japanese learning journey. Thank you for your videos
133,I love these videos 💞,I love these videos 💞
